"STATE/UT","Year","Infanticide","Murder","Rape","Kidnapping and Abduction","Foeticide","Abetment of Suicide","Exposure and Abandonment","Procuration of Minor Girls","Buying of girls for prostitu tion","Selling of girls for prostitution","Prohibition of Child Marriage Act, 2006","Other Crimes","Total Crimes Against Children"
"ANDHRA PRADESH","2001",1,34,84,57,0,7,22,12,0,0,6,47,270
"ARUNACHAL PRADESH","2001",0,0,0,0,0,0,0,0,0,0,0,0,0
"ASSAM","2001",0,0,0,18,0,0,0,0,0,0,0,0,18
"BIHAR","2001",0,2,16,26,0,0,1,16,1,1,2,18,83
"CHHATTISGARH","2001",6,8,150,46,5,1,15,0,0,0,0,354,585
"GOA","2001",0,1,10,6,0,0,3,2,0,0,0,12,34
"GUJARAT","2001",1,77,39,120,4,0,112,18,0,0,11,190,572
"HARYANA","2001",0,31,108,124,3,0,16,5,0,2,0,74,363
"HIMACHAL PRADESH","2001",0,5,35,20,0,0,15,0,0,0,0,7,82
"JAMMU & KASHMIR","2001",0,2,6,15,0,0,4,0,0,0,0,1,28
"JHARKHAND","2001",3,2,11,4,0,0,0,1,0,0,0,20,41
"KARNATAKA","2001",17,12,11,14,1,0,7,0,0,0,3,7,72
"KERALA","2001",1,75,64,28,0,0,9,4,0,0,3,63,247
"MADHYA PRADESH","2001",31,72,390,100,7,8,69,4,0,0,4,740,1425
"MAHARASHTRA","2001",26,177,367,210,17,4,281,21,1,1,43,473,1621
"MANIPUR","2001",0,0,0,0,0,0,0,0,0,0,0,0,0
"MEGHALAYA","2001",0,0,0,0,0,0,0,0,0,0,0,0,0
"MIZORAM","2001",0,0,0,0,0,0,0,0,0,0,0,0,0
"NAGALAND","2001",0,0,0,0,0,0,0,0,0,0,0,0,0
"ODISHA","2001",0,2,17,22,0,4,1,0,0,0,0,22,68
"PUNJAB","2001",3,17,38,35,7,0,3,7,0,0,0,13,123
"RAJASTHAN","2001",3,16,35,62,8,1,54,0,0,0,10,29,218
"SIKKIM","2001",0,1,4,0,0,0,0,0,0,0,0,0,5
"TAMIL NADU","2001",1,23,20,7,0,1,1,0,0,0,0,8,61
"TRIPURA","2001",0,0,0,0,0,0,0,0,0,0,0,0,0
"UTTAR PRADESH","2001",39,450,562,1185,1,0,0,29,1,1,1,1440,3709
"UTTARAKHAND","2001",0,9,9,16,0,0,0,7,0,0,0,5,46
"WEST BENGAL","2001",0,3,12,86,0,0,0,9,3,2,0,52,167
"TOTAL (STATES)","2001",132,1019,1988,2201,53,26,613,135,6,7,83,3575,9838
"A & N ISLANDS","2001",0,0,0,0,0,0,0,0,0,0,0,0,0
"CHANDIGARH","2001",0,0,8,32,0,0,5,0,0,0,2,11,58
"D & N HAVELI","2001",0,0,0,0,0,0,0,0,0,0,0,0,0
"DAMAN & DIU","2001",0,0,0,0,0,0,0,0,0,0,0,0,0
"DELHI","2001",1,21,113,612,2,0,60,3,0,1,0,99,912
"LAKSHADWEEP","2001",0,1,0,0,0,0,0,0,0,0,0,0,1
"PUDUCHERRY","2001",0,1,4,0,0,0,0,0,0,0,0,0,5
"TOTAL (UTs)","2001",1,23,125,644,2,0,65,3,0,1,2,110,976
"TOTAL (ALL-INDIA)","2001",133,1042,2113,2845,55,26,678,138,6,8,85,3685,10814
"ANDHRA PRADESH","2002",1,42,137,86,0,13,5,9,1,0,6,33,333
"ARUNACHAL PRADESH","2002",0,0,3,3,0,0,0,0,0,0,0,0,6
"ASSAM","2002",1,1,3,1,0,0,0,6,0,0,1,1,14
"BIHAR","2002",0,10,3,26,1,0,1,9,0,0,1,6,57
"CHHATTISGARH","2002",6,22,182,45,0,1,17,0,0,0,26,434,733
"GOA","2002",0,2,7,4,0,0,5,2,0,0,0,11,31
"GUJARAT","2002",4,64,67,273,9,1,76,0,0,0,38,178,710
"HARYANA","2002",6,16,84,54,6,0,15,0,0,1,1,52,235
"HIMACHAL PRADESH","2002",0,5,26,24,6,0,8,3,0,0,3,16,91
"JAMMU & KASHMIR","2002",1,1,7,23,2,0,4,0,0,0,0,4,42
"JHARKHAND","2002",1,2,43,21,0,0,0,5,0,0,0,39,111
"KARNATAKA","2002",3,25,19,23,7,0,10,7,0,1,1,18,114
"KERALA","2002",1,63,186,65,2,0,9,6,0,0,6,68,406
"MADHYA PRADESH","2002",18,76,517,154,4,1,91,5,0,1,2,1460,2329
"MAHARASHTRA","2002",24,224,491,275,10,6,282,34,8,1,18,487,1860
"MANIPUR","2002",0,0,0,0,0,0,0,0,0,0,0,0,0
"MEGHALAYA","2002",0,3,16,4,0,0,0,0,0,0,0,0,23
"MIZORAM","2002",0,0,2,0,0,0,0,0,0,0,0,0,2
"NAGALAND","2002",0,9,6,1,0,0,0,0,0,0,0,0,16
"ODISHA","2002",0,7,21,8,0,0,0,4,0,0,0,16,56
"PUNJAB","2002",0,13,52,62,10,0,0,5,0,0,1,18,161
"RAJASTHAN","2002",2,18,38,52,6,0,79,2,0,0,7,0,204
"SIKKIM","2002",0,2,4,0,0,0,0,0,0,0,0,0,6
"TAMIL NADU","2002",16,29,29,29,0,0,5,0,0,0,0,27,135
"TRIPURA","2002",0,0,0,0,0,0,0,0,0,0,0,0,0
"UTTAR PRADESH","2002",30,394,416,539,1,0,0,4,0,0,2,440,1826
"UTTARAKHAND","2002",0,7,8,3,0,0,0,9,0,0,0,0,27
"WEST BENGAL","2002",0,4,16,94,0,0,0,14,0,1,0,46,175
"TOTAL (STATES)","2002",114,1039,2383,1869,64,22,607,124,9,5,113,3354,9703
"A & N ISLANDS","2002",1,0,1,1,0,0,0,0,0,0,0,0,3
"CHANDIGARH","2002",0,3,6,22,0,1,8,0,0,0,0,9,49
"D & N HAVELI","2002",0,0,0,0,0,0,0,0,0,0,0,0,0
"DAMAN & DIU","2002",0,0,0,0,0,0,0,0,0,0,0,0,0
"DELHI","2002",0,29,138,426,20,0,29,0,0,0,0,55,697
"LAKSHADWEEP","2002",0,0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","2002",0,2,4,4,0,1,0,0,0,0,0,6,17
"TOTAL (UTs)","2002",1,34,149,453,20,2,37,0,0,0,0,70,766
"TOTAL (ALL-INDIA)","2002",115,1073,2532,2322,84,24,644,124,9,5,113,3424,10469
"ANDHRA PRADESH","2003",3,116,383,373,0,3,36,46,0,1,4,498,1463
